|                                                                          |   ncount |          mae |          rmse |               rsq |
| ('WN_NEB_N2_Diss_100_Subset_shift', 'Unweighted', 'Training', 'Energy')  |        3 |  0.966717    |   0.966766    |  -17357.7         |
| ('WN_NEB_N2_Diss_100_Subset_shift', 'Unweighted', 'Training', 'Force')   |      882 |  0.47457     |   0.910636    |      -0.608292    |
| ('WN_NEB_N2_Diss_100_Subset_shift', 'Unweighted', 'Testing', 'Energy')   |        1 |  0.959209    |   0.959209    |    -inf           |
| ('WN_NEB_N2_Diss_100_Subset_shift', 'Unweighted', 'Testing', 'Force')    |      294 |  0.496603    |   0.94742     |      -0.802457    |
| ('WN_NEB_N2_Diss_100_Subset_shift', 'weighted', 'Training', 'Energy')    |        3 |  0.00966717  |   0.00966766  |  -17357.7         |
| ('WN_NEB_N2_Diss_100_Subset_shift', 'weighted', 'Training', 'Force')     |      882 |  0.47457     |   0.910636    |      -0.608292    |
| ('WN_NEB_N2_Diss_100_Subset_shift', 'weighted', 'Testing', 'Energy')     |        1 |  0.00959209  |   0.00959209  |    -inf           |
| ('WN_NEB_N2_Diss_100_Subset_shift', 'weighted', 'Testing', 'Force')      |      294 |  0.496603    |   0.94742     |      -0.802457    |
| ('WN_NEB_N2_Diss_110_Subset_shift', 'Unweighted', 'Training', 'Energy')  |        2 |  1.62152     |   1.63128     |    -129.956       |
| ('WN_NEB_N2_Diss_110_Subset_shift', 'Unweighted', 'Training', 'Force')   |      444 |  0.479678    |   0.966332    |      -3.97883     |
| ('WN_NEB_N2_Diss_110_Subset_shift', 'Unweighted', 'Testing', 'Energy')   |        1 |  2.90231     |   2.90231     |    -inf           |
| ('WN_NEB_N2_Diss_110_Subset_shift', 'Unweighted', 'Testing', 'Force')    |      222 |  0.716824    |   1.05075     |      -0.117789    |
| ('WN_NEB_N2_Diss_110_Subset_shift', 'weighted', 'Training', 'Energy')    |        2 |  0.0162152   |   0.0163128   |    -129.956       |
| ('WN_NEB_N2_Diss_110_Subset_shift', 'weighted', 'Training', 'Force')     |      444 |  0.479678    |   0.966332    |      -3.97883     |
| ('WN_NEB_N2_Diss_110_Subset_shift', 'weighted', 'Testing', 'Energy')     |        1 |  0.0290231   |   0.0290231   |    -inf           |
| ('WN_NEB_N2_Diss_110_Subset_shift', 'weighted', 'Testing', 'Force')      |      222 |  0.716824    |   1.05075     |      -0.117789    |
| ('WN_NEB_SurfDiff_100_subset_shift', 'Unweighted', 'Training', 'Energy') |        1 |  0.915866    |   0.915866    |    -inf           |
| ('WN_NEB_SurfDiff_100_subset_shift', 'Unweighted', 'Training', 'Force')  |      291 |  0.408266    |   0.741758    |       0.00455164  |
| ('WN_NEB_SurfDiff_100_subset_shift', 'Unweighted', 'Testing', 'Energy')  |        1 |  0.908135    |   0.908135    |    -inf           |
| ('WN_NEB_SurfDiff_100_subset_shift', 'Unweighted', 'Testing', 'Force')   |      291 |  0.428932    |   0.78098     |      -0.118917    |
| ('WN_NEB_SurfDiff_100_subset_shift', 'weighted', 'Training', 'Energy')   |        1 |  0.00915866  |   0.00915866  |    -inf           |
| ('WN_NEB_SurfDiff_100_subset_shift', 'weighted', 'Training', 'Force')    |      291 |  0.408266    |   0.741758    |       0.00455164  |
| ('WN_NEB_SurfDiff_100_subset_shift', 'weighted', 'Testing', 'Energy')    |        1 |  0.00908135  |   0.00908135  |    -inf           |
| ('WN_NEB_SurfDiff_100_subset_shift', 'weighted', 'Testing', 'Force')     |      291 |  0.428932    |   0.78098     |      -0.118917    |
